No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Layout,BaseLayout with SEO props,"Pass title and description as props to a base layout that renders the full HTML shell including meta tags, favicons, and OG tags",Define a Props interface in the layout frontmatter and render meta tags from Astro.props,Hardcode title and description in every page or duplicate the HTML shell,"interface Props { title: string; description: string }
const { title, description } = Astro.props;",<html><head><title>Hardcoded Title</title></head></html>,High,https://docs.astro.build/en/basics/astro-pages/
2,Layout,Use named slots for flexible layouts,Define multiple slot elements with names so pages can inject content into specific layout regions,Use <slot name=header /> for optional sections,Pass HTML content as string props instead of using slots,"<header><slot name=header /></header>
<main><slot /></main>
<footer><slot name=footer /></footer>",<Layout header={<Header />} />,Medium,https://docs.astro.build/en/basics/astro-components/#slots
3,Layout,Colocate styles in .astro files,Write component styles inside style tags in the same .astro file; Astro scopes them automatically,Use style blocks for component-specific CSS,Use separate CSS files or is:global for component styles,.card { padding: 1rem; border-radius: 0.5rem; },import './Card.css';,Medium,https://docs.astro.build/en/guides/styling/#scoped-styles
4,SEO,Canonical SEOHead component,"Create a reusable SEOHead component that renders title, meta description, OG tags, twitter cards, and canonical URL",Use Astro.url for canonical and OG URL generation dynamically,Ship pages without meta descriptions or OG tags,"<meta property=og:url content={new URL(Astro.url.pathname, Astro.site)} />",No meta tags at all,High,https://docs.astro.build/en/guides/content-collections/
5,SEO,Automatic sitemap generation,Use @astrojs/sitemap integration to auto-generate sitemap.xml at build time with zero config,npx astro add sitemap and configure in astro.config,Write sitemap.xml by hand or skip it entirely,"import sitemap from '@astrojs/sitemap';
export default defineConfig({ integrations: [sitemap()] });",No sitemap at all,Medium,https://docs.astro.build/en/guides/integrations-guide/sitemap/
6,Navigation,Sticky header with backdrop-blur,Create a position: sticky header with a semi-transparent background and backdrop-filter for a modern glass effect,Use rgba or hsla with backdrop-filter: blur() for the glass effect,Use a fully opaque background that obscures content on scroll,"header {
  position: sticky;
  top: 0;
  background: rgba(255,255,255,0.8);
  backdrop-filter: blur(12px);
  border-bottom: 1px solid var(--color-border);
}",header { position: fixed; background: white; },Medium,https://docs.astro.build/en/basics/astro-components/
7,Navigation,Mobile hamburger without JavaScript,Use a CSS-only details/summary or hidden checkbox technique for the mobile menu toggle; no client:load directive needed,Use details element or checkbox hack with CSS :checked to toggle mobile menu,Add client:load just for a mobile menu toggle,"<details>
  <summary>Menu</summary>
  <nav>links here</nav>
</details>","<script>document.querySelector('.hamburger').addEventListener('click', ...)</script>",High,https://docs.astro.build/en/concepts/islands/
8,Navigation,Active link detection,Use Astro.url.pathname in the frontmatter to detect the current page and apply an active class to nav links,Compare Astro.url.pathname with each link href,Use client-side JavaScript to set active classes on navigation,"const currentPath = Astro.url.pathname;
<a href=/about class={currentPath === '/about' ? 'active' : ''}>About</a>",<script>document.querySelectorAll('a').forEach(a => { if (a.href === location.pathname) a.classList.add('active') })</script>,Low,https://docs.astro.build/en/reference/api-reference/#astrourl
9,Hero,Two-column hero with visual,"Split the hero into a text column (headline, subtitle, CTAs) and a visual column (image, mockup, or video) using CSS Grid",Use display: grid with grid-template-columns: 1fr 1fr on tablet and up breakpoints,Stack everything vertically on all screen sizes or use absolute positioning,".hero {
  display: grid;
  grid-template-columns: 1fr;
}
@media (min-width: 768px) {
  .hero { grid-template-columns: 1.1fr 0.9fr; }
}",position: absolute for the image column,Medium,https://docs.astro.build/en/basics/astro-components/
10,Hero,Decorative background blobs,Add large blurred radial gradients behind the hero section using CSS pseudo-elements or a dedicated div to create visual depth without images,Use fixed or absolute positioned divs with filter: blur(80px) and low opacity,Use heavy image files or canvas for decorative backgrounds,".blob {
  position: absolute;
  border-radius: 50%;
  filter: blur(80px);
  opacity: 0.2;
  background: radial-gradient(circle, var(--color-primary), transparent 70%);
}",<img src=/hero-bg.png alt= />,Low,
11,Hero,CTA section with primary and secondary actions,Present a clear primary CTA (filled button) and secondary CTA (outline or WhatsApp-style) side by side with proper visual hierarchy,Make the primary CTA visually dominant through fill and weight; secondary should be lighter,Use two equally-weighted buttons that compete for attention,"<a href=/pricing class=btn-primary>Get Started</a>
<a href=https://wa.me/ class=btn-outline>Chat with us</a>","<a href=/pricing class=btn-primary>Buy Now</a>
<a href=/login class=btn-primary>Sign In</a>",Medium,
12,Cards,Content card component pattern,"Build a reusable Card component with Astro.props for title, description, image, href, tags, and date. Use semantic article element",Define a Props interface with optional fields and render only when present,Use a generic div without semantic structure or skip the props interface,"interface Props {
  title: string;
  description?: string;
  image?: string;
  href?: string;
  tags?: string[];
  date?: Date;
}
const { title, description, image, href, tags, date } = Astro.props;",<div class=card>{title} {description}</div>,Medium,https://docs.astro.build/en/basics/astro-components/#component-props
